SNP	LG	CM
2_33284	1	11.11
2_42521	1	11.11
2_01236	1	11.22
2_01738	1	11.22
2_04702	1	11.22
2_04703	1	11.22
2_04704	1	11.22
2_06877	1	11.22
2_14084	1	11.22
2_15361	1	11.22
2_17463	1	11.22
2_22970	1	11.22
2_22971	1	11.22
2_24186	1	11.22
2_30459	1	11.22
2_51585	1	11.22
2_55121	1	11.22
2_09215	1	11.22
2_34103	1	11.22
2_52273	1	11.22
2_11717	1	11.22
1_0734	1	11.22
2_00619	1	11.22
2_03240	1	11.22
2_03241	1	11.22
2_04701	1	11.22
2_05855	1	11.22
2_06878	1	11.22
2_08276	1	11.22
2_17462	1	11.22
2_19811	1	11.22
2_21848	1	11.22
2_47118	1	11.22
2_52728	1	11.22
2_09642	1	11.22
2_21182	1	11.53
2_21183	1	11.53
2_01025	1	11.85
2_01026	1	11.85
2_05030	1	11.85
2_07272	1	11.85
2_09816	1	11.85
2_19294	1	11.85
2_33996	1	11.85
2_05097	1	11.85
2_05909	1	11.85
2_07271	1	11.85
2_05032	1	11.85
2_15214	1	11.85
1_0150	1	12.15
2_02187	1	12.44
2_07444	1	12.44
2_18881	1	12.44
2_50452	1	12.44
2_19540	1	12.44
2_48511	1	12.44
2_02188	1	12.44
2_10299	1	12.44
2_29790	1	12.44
2_52454	1	12.44
2_09160	1	12.93
2_08149	1	12.93
2_15996	1	12.93
2_17575	1	12.93
2_17576	1	12.93
2_23756	1	12.93
2_27749	1	12.93
2_36938	1	12.93
2_45419	1	12.93
2_18893	1	12.93
2_19309	1	12.93
2_24216	1	12.93
2_31978	1	12.93
2_21786	1	12.93
2_20420	1	12.93
2_08148	1	12.93
2_15182	1	12.93
2_19415	1	12.93
2_23755	1	12.93
2_27750	1	12.93
2_49780	1	12.93
2_00208	1	12.93
2_04598	1	12.93
2_04599	1	12.93
2_32279	1	12.93
2_34627	1	12.93
2_37327	1	12.93
2_15370	1	12.93
2_18998	1	12.93
2_17798	1	12.93
2_37209	1	13.18
1_1153	1	13.18
2_32646	1	13.18
2_35199	1	13.18
2_36150	1	13.18
2_36160	1	13.18
2_36237	1	13.18
2_37210	1	13.18
2_37398	1	13.18
2_35828	1	13.61
2_15914	1	13.83
2_15913	1	13.83
2_24821	1	14.04
2_34800	1	14.04
2_35120	1	14.04
2_13854	1	14.25
2_17062	1	14.25
2_17063	1	14.25
2_18367	1	14.25
2_21689	1	14.25
2_21690	1	14.25
2_05963	1	14.25
2_18147	1	14.25
2_18508	1	14.25
2_35743	1	14.25
2_23035	1	14.46
2_27542	1	14.46
2_53903	1	14.46
2_06298	1	14.46
2_06299	1	14.46
2_07075	1	14.46
2_18485	1	14.46
2_25791	1	14.46
2_07122	1	14.46
1_0357	1	14.46
2_08655	1	14.46
2_13351	1	14.46
2_53482	1	14.46
2_19601	1	14.46
2_19602	1	14.46
2_20467	1	14.46
2_54358	1	14.46
2_25041	1	14.46
2_06554	1	14.67
2_31852	1	14.67
2_53349	1	14.88
2_14678	1	15.09
2_29031	1	15.31
2_09792	1	15.52
2_42490	1	15.52
2_07575	1	15.52
2_27530	1	15.52
2_52735	1	15.52
2_12706	1	15.73
2_04736	1	15.73
2_15699	1	15.73
2_50403	1	15.73
2_52499	1	15.73
2_00298	1	15.94
2_00299	1	15.94
2_12027	1	15.94
2_16864	1	15.94
2_23470	1	15.94
2_31153	1	15.94
2_53413	1	15.94
2_54018	1	15.94
2_06812	1	15.94
2_08210	1	15.94
2_08211	1	15.94
2_09978	1	15.94
2_12829	1	15.94
2_12830	1	15.94
2_23360	1	15.94
2_54671	1	15.94
2_20851	1	15.94
2_08781	1	15.94
2_23471	1	15.94
2_05945	1	15.94
2_10289	1	15.94
2_10290	1	15.94
2_21471	1	15.94
2_23569	1	15.94
2_23570	1	15.94
2_06813	1	15.94
2_15423	1	15.94
2_26694	1	15.94
2_09979	1	15.94
2_08112	1	16.15
2_08113	1	16.15
2_01208	1	16.36
2_16041	1	16.36
2_17368	1	16.36
2_18330	1	16.36
2_54726	1	16.36
2_54952	1	16.36
1_0312	1	16.36
2_01207	1	16.36
2_16042	1	16.36
2_17369	1	16.36
2_49705	1	16.36
2_19807	1	16.36
1_0726	1	16.57
2_14409	1	16.57
2_16714	1	16.57
2_33028	1	16.57
2_39881	1	16.57
2_06567	1	16.57
2_11171	1	16.57
2_11875	1	16.57
2_16713	1	16.57
2_21116	1	16.57
2_30034	1	16.57
2_43438	1	16.57
1_1404	1	16.57
2_04151	1	16.57
1_1534	1	16.57
2_02303	1	16.57
2_02304	1	16.57
2_03177	1	16.57
2_08170	1	16.57
2_12876	1	16.57
2_13181	1	16.57
2_16832	1	16.57
2_47284	1	16.57
2_21117	1	16.57
2_32806	1	16.57
2_11170	1	16.57
2_23148	1	16.57
2_24119	1	16.57
2_27163	1	16.57
2_14276	1	16.57
2_47543	1	16.57
2_14277	1	16.57
2_01692	1	16.57
2_03176	1	16.57
2_12874	1	16.57
2_12877	1	16.57
2_14529	1	16.57
2_23324	1	16.57
2_23325	1	16.57
2_03774	1	17.25
2_02776	1	17.54
2_02777	1	17.54
2_09988	1	17.54
2_17212	1	17.54
2_41956	1	17.54
2_16287	1	17.54
2_16288	1	17.54
2_22102	1	17.54
2_00588	1	17.84
2_05828	1	17.84
2_30901	1	17.84
2_06164	1	17.84
2_08055	1	17.84
2_08712	1	17.84
2_11619	1	17.84
2_11620	1	17.84
2_23223	1	17.84
2_06165	1	17.84
2_20645	1	18.14
2_10496	1	18.14
2_10497	1	18.14
2_33166	1	18.14
2_24126	1	18.45
2_31248	1	18.45
1_0396	1	18.77
2_35779	1	18.77
2_36463	1	18.77
2_38739	1	18.77
2_34899	1	18.77
2_35746	1	18.77
2_35780	1	18.77
2_12130	1	18.77
2_32927	1	18.77
2_03646	1	19.09
2_25400	1	19.09
2_13412	1	19.40
2_13411	1	19.40
2_50943	1	19.40
2_41302	1	19.72
2_47951	1	19.72
2_14957	1	19.72
2_14956	1	19.72
2_09390	1	20.04
2_21450	1	20.04
2_29746	1	20.04
2_30444	1	20.04
2_07976	1	20.04
2_09391	1	20.04
2_09939	1	20.04
2_10656	1	20.04
2_13198	1	20.04
2_15981	1	20.04
2_26306	1	20.04
2_26631	1	20.04
2_30027	1	20.04
2_49983	1	20.04
2_05075	1	20.04
2_29761	1	20.04
2_30443	1	20.04
2_31288	1	20.04
2_03268	1	20.04
2_09938	1	20.04
2_15676	1	20.04
2_29583	1	20.04
2_48999	1	20.04
2_08871	1	20.04
2_08105	1	20.35
2_08107	1	20.35
2_45018	1	20.35
2_48172	1	20.35
2_17911	1	20.35
2_08106	1	20.35
2_11222	1	20.35
2_11223	1	20.35
2_18241	1	20.35
2_18340	1	20.35
2_17910	1	20.35
2_45847	1	20.35
2_53088	1	20.35
2_55351	1	20.35
2_02688	1	20.67
2_32123	1	20.67
2_51717	1	20.67
2_54086	1	20.67
2_11560	1	20.67
2_37929	1	20.67
2_11559	1	20.67
2_37805	1	20.67
2_46620	1	20.67
2_48410	1	20.67
2_51400	1	20.67
2_31281	1	21.01
2_20706	1	21.01
2_26317	1	21.35
2_28407	1	21.35
2_38927	1	21.35
2_53640	1	21.35
2_01157	1	21.35
2_16217	1	21.35
2_29017	1	21.35
2_34266	1	21.35
2_28566	1	21.35
2_12153	1	21.63
2_14237	1	21.63
2_17529	1	21.63
2_11925	1	21.87
2_19963	1	21.87
2_06616	1	21.87
2_05056	1	21.87
2_05057	1	21.87
2_02309	1	21.87
2_04196	1	21.87
2_04197	1	21.87
2_17767	1	21.87
2_20093	1	21.87
2_33416	1	21.87
2_17768	1	21.87
2_18117	1	22.08
2_02129	1	22.08
2_50126	1	22.08
2_35019	1	22.29
2_35018	1	22.29
2_05988	1	22.29
2_28420	1	22.29
2_37309	1	22.50
2_02710	1	22.71
2_11650	1	22.71
2_28891	1	22.71
2_30539	1	22.71
2_30540	1	22.71
2_53463	1	22.71
2_54534	1	22.71
2_34653	1	22.71
2_36176	1	22.71
2_13215	1	22.71
2_19678	1	22.71
2_29340	1	22.71
2_38685	1	22.93
2_20907	1	23.77
2_19638	1	23.77
2_13149	1	23.98
2_08563	1	23.98
2_08564	1	23.98
2_08689	1	23.98
2_13340	1	23.98
2_17228	1	23.98
2_29549	1	23.98
2_39027	1	23.98
2_08686	1	23.98
2_50911	1	23.98
2_17489	1	24.20
2_06534	1	24.20
2_06535	1	24.20
2_09875	1	24.20
2_12956	1	24.20
2_17487	1	24.20
2_29280	1	24.20
2_34208	1	24.20
2_17490	1	24.20
2_06533	1	24.20
2_12459	1	24.20
2_17488	1	24.20
2_19873	1	24.20
2_29279	1	24.20
2_47135	1	24.20
2_28856	1	24.20
2_50402	1	24.20
2_11319	1	24.44
2_06150	1	24.44
2_04438	1	24.44
2_11317	1	24.44
2_11318	1	24.44
2_15793	1	24.44
2_17822	1	24.44
2_20092	1	24.44
2_22891	1	24.44
2_28232	1	24.44
2_32615	1	24.44
2_48629	1	24.44
2_54763	1	24.44
2_19839	1	24.44
2_21635	1	24.44
2_04436	1	24.44
2_09427	1	24.44
2_15115	1	24.44
2_15116	1	24.44
2_17409	1	24.44
2_17823	1	24.44
2_25321	1	24.44
2_26357	1	24.44
2_26359	1	24.44
2_28152	1	24.44
2_28796	1	24.44
2_47422	1	24.44
2_47738	1	24.44
2_51294	1	24.44
2_54685	1	24.44
2_03467	1	24.44
2_26360	1	24.44
2_54493	1	24.44
2_04903	1	24.66
2_04904	1	24.66
2_15091	1	24.66
2_30851	1	24.66
2_48323	1	24.66
2_08385	1	24.66
2_15090	1	24.66
2_19158	1	24.66
2_17416	1	24.66
2_17417	1	24.66
2_53494	1	24.66
2_06152	1	24.88
2_06153	1	24.88
2_27879	1	24.88
2_06151	1	24.88
2_19538	1	24.88
1_0784	1	25.30
2_04370	1	25.30
2_14873	1	25.30
2_21620	1	25.30
2_21621	1	25.30
2_00129	1	25.30
2_01718	1	25.30
2_02123	1	25.30
2_04353	1	25.30
2_06632	1	25.30
2_09259	1	25.30
2_13623	1	25.30
2_13626	1	25.30
2_17292	1	25.30
2_20049	1	25.30
2_29904	1	25.30
2_39261	1	25.30
2_40180	1	25.30
2_41702	1	25.30
2_54895	1	25.30
2_14874	1	25.30
2_46336	1	25.30
1_0614	1	25.30
2_01719	1	25.30
2_04354	1	25.30
2_09641	1	25.30
2_17291	1	25.30
2_20050	1	25.30
2_22343	1	25.30
2_22344	1	25.30
2_25197	1	25.30
2_25735	1	25.30
2_38631	1	25.30
2_55190	1	25.30
2_00128	1	25.30
2_10064	1	25.51
2_10063	1	25.51
2_45159	1	25.51
2_08629	1	25.51
2_00548	1	25.72
2_03160	1	25.72
2_26554	1	25.72
2_04873	1	25.72
2_09686	1	25.72
2_32341	1	25.72
2_21436	1	25.72
2_21437	1	25.72
2_49226	1	25.72
2_17602	1	25.93
2_22611	1	25.93
2_22612	1	25.93
2_23138	1	25.93
2_33636	1	25.93
2_54237	1	25.93
2_05655	1	25.93
2_14156	1	25.93
2_44231	1	25.93
2_09704	1	25.93
2_24517	1	25.93
2_52900	1	25.93
2_32142	1	25.93
2_05654	1	25.93
2_14935	1	25.93
2_33541	1	26.14
2_02727	1	26.14
2_12083	1	26.14
2_12084	1	26.14
2_25647	1	26.14
2_02728	1	26.14
2_12257	1	26.36
2_12258	1	26.36
2_22889	1	26.36
2_31686	1	26.36
2_44282	1	26.36
2_49298	1	26.36
2_04513	1	26.36
2_06059	1	26.36
2_23662	1	26.36
2_33944	1	26.36
1_0344	1	26.36
2_18274	1	26.36
2_22890	1	26.36
2_04155	1	26.36
2_11771	1	26.36
2_23687	1	26.36
2_23688	1	26.36
2_47108	1	26.57
2_01158	1	26.57
2_14197	1	26.57
2_03914	1	26.57
2_18084	1	26.57
2_26392	1	26.57
2_41825	1	26.57
2_45877	1	26.57
2_08305	1	26.57
2_00123	1	26.57
2_16343	1	26.57
2_18860	1	26.57
2_19126	1	26.57
2_23069	1	26.57
2_44061	1	26.57
2_09453	1	26.57
2_09454	1	26.57
2_16344	1	26.57
2_33339	1	26.57
1_0440	1	26.78
2_32355	1	26.78
2_39465	1	26.78
2_49827	1	26.78
2_04892	1	26.78
2_26564	1	26.78
2_46576	1	26.78
2_47840	1	26.78
2_53322	1	26.78
2_06663	1	26.99
2_14352	1	26.99
2_22596	1	26.99
2_39209	1	26.99
2_16348	1	26.99
2_46467	1	26.99
2_48965	1	26.99
2_13818	1	26.99
2_16347	1	26.99
2_44432	1	26.99
2_17879	1	26.99
2_45157	1	26.99
1_1156	1	27.20
2_27310	1	27.20
2_28480	1	27.20
2_00479	1	27.20
2_00480	1	27.20
2_06007	1	27.20
2_09933	1	27.20
2_09937	1	27.20
2_50016	1	27.20
2_20265	1	27.20
2_26517	1	27.20
2_33376	1	27.20
2_46002	1	27.20
2_20791	1	27.20
2_21788	1	27.20
2_45330	1	27.20
2_30317	1	27.20
2_07002	1	27.20
2_09971	1	27.41
2_23682	1	27.41
2_02766	1	27.63
2_30132	1	28.05
2_08636	1	28.05
2_24172	1	28.05
2_27162	1	28.05
2_37545	1	28.05
2_51631	1	28.05
2_08637	1	28.05
2_09223	1	28.05
2_09224	1	28.05
2_15694	1	28.05
2_27161	1	28.05
2_00029	1	28.05
2_24842	1	28.05
2_46385	1	28.05
2_48924	1	28.05
2_00951	1	28.05
2_00952	1	28.05
2_19550	1	28.05
2_23630	1	28.05
2_34099	1	28.05
2_33714	1	28.05
2_47533	1	28.28
2_30770	1	28.28
2_06273	1	28.54
2_48637	1	28.54
2_28315	1	28.54
2_24876	1	28.84
2_24318	1	28.84
2_38387	1	28.84
2_45618	1	28.84
2_44510	1	28.84
2_42402	1	28.84
2_11791	1	28.84
2_43825	1	28.84
2_01048	1	28.84
2_08460	1	28.84
2_08461	1	28.84
2_11790	1	28.84
2_20632	1	28.84
2_25645	1	28.84
2_49770	1	28.84
2_23997	1	29.14
2_23998	1	29.14
2_17782	1	29.14
2_31440	1	29.44
2_31441	1	29.44
2_31538	1	29.44
2_51080	1	29.44
2_47953	1	29.96
2_51309	1	29.96
2_19015	1	30.28
2_38538	1	30.28
2_46718	1	30.28
2_22331	1	30.28
2_52943	1	30.28
2_05114	1	30.81
2_06406	1	30.81
2_31055	1	30.81
2_39306	1	30.81
2_40429	1	30.81
2_46468	1	30.81
2_49255	1	30.81
2_54205	1	30.81
2_05115	1	30.81
2_11134	1	30.81
2_11135	1	30.81
2_12019	1	30.81
2_13195	1	30.81
2_45358	1	30.81
2_47632	1	30.81
2_52585	1	30.81
2_53788	1	31.13
2_16600	1	31.13
2_01551	1	31.13
2_08586	1	31.13
2_10015	1	31.13
2_10818	1	31.13
2_13102	1	31.13
2_27353	1	31.13
2_37844	1	31.13
2_37927	1	31.13
2_40969	1	31.13
2_44942	1	31.13
2_45240	1	31.13
2_49948	1	31.13
2_52414	1	31.13
2_52989	1	31.13
2_53161	1	31.13
2_31474	1	31.13
1_0075	1	31.13
2_01097	1	31.13
2_01098	1	31.13
2_16599	1	31.13
2_25073	1	31.13
2_25601	1	31.13
2_31475	1	31.13
2_33304	1	31.13
2_43263	1	31.13
2_54227	1	31.13
2_55481	1	31.13
2_13161	1	31.13
2_02404	1	31.44
2_06506	1	31.44
2_07154	1	31.44
2_11939	1	31.44
2_12642	1	31.44
2_15340	1	31.44
2_24486	1	31.44
2_29523	1	31.44
2_32033	1	31.44
2_38795	1	31.44
2_41312	1	31.44
2_48126	1	31.44
2_48180	1	31.44
2_48880	1	31.44
2_54885	1	31.44
2_39358	1	31.44
2_00114	1	31.44
2_00115	1	31.44
2_01942	1	31.44
2_09622	1	31.44
2_10973	1	31.44
2_11940	1	31.44
2_18598	1	31.44
2_18993	1	31.44
2_29123	1	31.44
2_29195	1	31.44
2_39285	1	31.44
2_42654	1	31.44
2_42693	1	31.44
2_44707	1	31.44
2_45107	1	31.44
2_47246	1	31.44
2_48934	1	31.44
2_55293	1	31.44
2_44926	1	31.58
2_16627	1	31.87
2_41096	1	31.87
2_43385	1	31.87
2_44316	1	31.87
2_53554	1	31.87
2_55106	1	31.87
2_50020	1	31.87
2_00976	1	31.87
2_16625	1	31.87
2_31998	1	31.87
2_37801	1	31.87
2_52066	1	31.87
2_53297	1	32.18
2_46012	1	32.18
2_51341	1	32.18
2_14087	1	32.18
2_20335	1	32.18
2_29343	1	32.18
2_46406	1	32.18
2_45795	1	32.18
2_32373	1	32.25
2_48898	1	32.25
2_37103	1	32.53
2_38117	1	32.53
2_44328	1	32.53
2_35218	1	32.53
2_35668	1	32.53
2_40993	1	32.84
2_51892	1	33.36
2_52580	1	33.36
2_26753	1	33.65
2_47443	1	33.65
2_52921	1	33.65
2_40263	1	33.65
2_55495	1	33.65
2_55099	1	33.65
2_40365	1	33.92
2_46439	1	33.92
2_46686	1	33.92
2_02146	1	33.96
2_08206	1	33.96
2_10879	1	33.96
2_13521	1	33.96
2_24102	1	33.96
2_24458	1	33.96
2_25469	1	33.96
2_27194	1	33.96
2_29457	1	33.96
2_34188	1	33.96
2_37931	1	33.96
2_40103	1	33.96
2_40255	1	33.96
2_42786	1	33.96
2_43386	1	33.96
2_43904	1	33.96
2_45429	1	33.96
2_47228	1	33.96
2_47596	1	33.96
2_47954	1	33.96
2_48297	1	33.96
2_50933	1	33.96
2_51298	1	33.96
2_54865	1	33.96
2_39090	1	33.96
2_37534	1	33.96
2_39043	1	33.96
2_27764	1	33.96
2_00028	1	33.96
2_22880	1	33.96
2_28662	1	33.96
2_34600	1	33.96
2_45366	1	33.96
2_48403	1	33.96
2_52080	1	33.96
2_10897	1	33.96
2_53342	1	33.96
2_41793	1	33.96
2_51188	1	34.28
2_46979	1	34.28
2_46555	1	34.28
2_37611	1	34.59
2_40893	1	34.59
1_0876	1	34.59
2_01980	1	34.59
2_40253	1	34.59
2_41742	1	34.59
2_42250	1	34.59
2_42420	1	34.59
2_42583	1	34.59
2_45611	1	34.59
2_45990	1	34.59
2_46540	1	34.59
2_54609	1	34.59
2_04003	1	34.59
2_38530	1	34.59
2_51828	1	34.59
2_52130	1	34.59
2_54211	1	34.59
2_38517	1	34.59
1_1274	1	34.59
2_46643	1	34.59
2_49207	1	34.59
2_50419	1	34.59
2_06966	1	34.59
2_09918	1	34.59
2_25521	1	34.59
2_33770	1	34.59
2_37759	1	34.59
2_43334	1	34.59
2_43407	1	34.59
2_52116	1	34.59
2_21203	1	34.59
2_53268	1	34.59
2_32944	1	34.91
2_39239	1	34.91
2_02669	1	34.91
2_10421	1	35.23
2_13365	1	35.23
2_18457	1	35.23
2_38343	1	35.23
2_39698	1	35.23
2_40652	1	35.23
2_42290	1	35.23
2_44381	1	35.23
2_47080	1	35.23
2_51493	1	35.23
2_52290	1	35.23
2_52861	1	35.23
2_37737	1	35.23
2_16778	1	35.23
2_19682	1	35.23
2_43841	1	35.23
2_48322	1	35.23
2_53365	1	35.23
2_39259	1	35.23
2_42638	1	35.66
1_0647	1	35.66
2_12668	1	35.66
2_29198	1	35.66
2_30612	1	35.66
2_32570	1	35.66
2_34601	1	35.66
2_43391	1	35.66
2_45685	1	35.66
2_47622	1	35.66
2_49896	1	35.66
2_50518	1	35.66
2_52608	1	35.66
2_52616	1	35.66
2_53001	1	35.66
2_37653	1	35.66
2_39525	1	35.66
2_50588	1	35.66
2_38049	1	35.66
2_40560	1	35.66
2_41558	1	35.66
2_43733	1	35.66
2_43925	1	35.66
2_49881	1	35.66
2_52739	1	35.66
2_55413	1	35.66
2_46256	1	35.66
2_48483	1	35.66
2_50260	1	35.66
2_51837	1	35.66
2_52405	1	35.66
2_29410	1	35.66
2_33492	1	35.66
2_53114	1	35.66
2_38214	1	35.66
2_53323	1	35.94
2_49144	1	36.13
2_06830	1	36.59
2_07518	1	36.59
2_19716	1	36.59
2_47831	1	36.59
2_00982	1	36.59
2_44690	1	36.59
2_20084	1	36.59
2_27552	1	36.59
2_29654	1	36.59
2_38497	1	36.59
2_49879	1	36.83
2_40173	1	37.24
2_53556	1	37.54
2_00436	1	37.54
2_00437	1	37.54
2_00518	1	37.54
2_30263	1	37.54
2_38271	1	37.54
2_41213	1	37.54
2_44384	1	37.54
2_48549	1	37.54
2_50662	1	37.54
2_51124	1	37.54
2_52950	1	37.54
2_10521	1	37.54
2_41589	1	37.54
2_47058	1	37.54
2_55369	1	37.54
2_41214	1	37.54
2_10812	1	37.85
2_28458	1	37.85
2_27179	1	37.85
2_49819	1	37.85
1_0288	1	38.48
2_03346	1	38.48
2_05421	1	38.48
2_21275	1	38.48
2_21276	1	38.48
2_21774	1	38.48
2_24253	1	38.48
2_25057	1	38.48
2_25058	1	38.48
2_27772	1	38.48
2_28550	1	38.48
2_29668	1	38.48
2_38109	1	38.48
2_39024	1	38.48
2_43375	1	38.48
2_43804	1	38.48
2_47453	1	38.48
2_47702	1	38.48
2_51330	1	38.48
2_54428	1	38.48
2_35883	1	38.48
2_47147	1	38.48
2_10057	1	38.48
2_52659	1	38.48
2_47555	1	38.89
2_25508	1	38.89
2_08869	1	39.31
2_15537	1	39.31
2_20531	1	39.31
2_25244	1	39.31
2_31864	1	39.31
2_32491	1	39.31
2_33454	1	39.31
2_33732	1	39.31
2_34814	1	39.31
2_35042	1	39.31
2_36143	1	39.31
2_36144	1	39.31
2_36245	1	39.31
2_36246	1	39.31
2_41077	1	39.31
2_44718	1	39.31
2_46744	1	39.31
2_49839	1	39.31
2_50624	1	39.31
2_51630	1	39.31
2_53257	1	39.31
2_52447	1	39.31
2_41250	1	39.31
2_49004	1	39.31
2_03071	1	39.31
2_08868	1	39.31
2_30090	1	39.31
2_05624	1	39.73
2_10863	1	39.73
2_16262	1	39.73
2_20551	1	39.73
2_30240	1	39.73
2_35103	1	39.73
2_35723	1	39.73
2_35841	1	39.73
2_36047	1	39.73
2_36172	1	39.73
2_36221	1	39.73
2_36222	1	39.73
2_36623	1	39.73
2_38018	1	39.73
2_45335	1	39.73
2_46170	1	39.73
2_46274	1	39.73
2_54964	1	39.73
2_07261	1	39.73
2_12587	1	39.73
2_18957	1	39.73
2_33160	1	39.73
2_35104	1	39.73
2_36025	1	39.73
2_38026	1	39.73
2_43587	1	39.73
2_47262	1	39.73
2_51641	1	39.73
2_54182	1	39.73
2_48595	1	39.92
2_47280	1	40.23
2_12059	1	40.43
2_34230	1	40.43
2_45287	1	40.43
2_50785	1	40.43
2_54360	1	40.43
2_18682	1	40.43
2_55161	1	40.43
2_53405	1	40.43
2_40280	1	40.71
2_28745	1	41.02
2_35604	1	41.73
2_00878	1	41.73
2_35164	1	41.73
2_38763	1	41.73
2_36315	1	42.58
2_50319	1	42.58
2_51830	1	43.00
2_40968	1	43.83
2_00602	1	43.83
2_48853	1	44.28
2_55502	1	44.76
2_20897	1	44.76
2_25666	1	44.76
2_36014	1	44.76
2_37414	1	44.76
2_35729	1	44.76
2_38455	1	44.76
2_49300	1	44.76
2_13988	1	45.23
2_40932	1	45.23
2_35547	1	45.23
2_35076	1	45.23
2_35302	1	45.23
2_35303	1	45.23
2_53402	1	45.23
2_12960	1	45.91
2_14515	1	45.91
2_26055	1	45.91
2_33529	1	45.91
2_37088	1	45.91
2_41851	1	45.91
2_44997	1	45.91
2_50994	1	45.91
2_53314	1	45.91
2_03726	1	45.91
2_21103	1	45.91
2_21104	1	45.91
2_34272	1	45.91
2_35646	1	45.91
2_50802	1	45.91
2_51164	1	45.91
2_08186	1	46.13
2_41993	1	46.13
2_43732	1	46.13
2_08187	1	46.13
2_36556	1	46.56
2_35805	1	46.56
2_08346	1	47.15
2_00251	1	47.61
2_00252	1	47.61
2_00253	1	47.61
2_02361	1	47.61
2_02362	1	47.61
2_03672	1	47.61
2_14451	1	47.61
2_14714	1	47.61
2_16914	1	47.61
2_16994	1	47.61
2_21731	1	47.61
2_49658	1	47.61
2_51794	1	47.61
2_21380	1	47.61
2_14450	1	47.61
2_01425	1	47.61
2_16915	1	47.61
2_20415	1	47.61
2_30541	1	47.61
2_30542	1	47.61
2_00374	1	48.04
2_00376	1	48.04
2_24955	1	48.04
2_26663	1	48.04
2_26665	1	48.04
2_28334	1	48.04
2_31189	1	48.04
2_46476	1	48.04
2_49161	1	48.04
2_51076	1	48.04
2_52563	1	48.04
2_20727	1	48.04
2_11115	1	48.04
2_17512	1	48.04
2_19043	1	48.04
2_29947	1	48.04
2_35939	1	48.04
2_39528	1	48.04
2_24439	1	48.49
2_00559	1	48.49
2_02593	1	48.49
2_08848	1	48.49
2_10847	1	48.49
2_48635	1	48.49
2_00777	1	48.49
2_04162	1	48.49
2_04236	1	48.49
2_04237	1	48.49
2_08846	1	48.49
2_08849	1	48.49
2_16081	1	48.49
2_32363	1	48.49
2_04249	1	48.96
2_12332	1	48.96
2_29941	1	48.96
2_46777	1	48.96
2_24068	1	48.96
2_11741	1	48.96
2_28176	1	48.96
2_28822	1	48.96
